,City,CityID,Cloudiness,Country,Date,Humidity,Latitude,Longitude,MaxTemp,WindSpeed
77,Hermanus,3366880,0,ZA,1545527342,99,-34.42,19.24,56.84,2.91
78,Saldanha,2737599,12,PT,1545527420,87,41.42,-6.55,34.61,2.57
79,Kapaa,5848280,1,US,1545522960,64,22.08,-159.32,80.06,10.29
80,Saint-Pierre,2995603,90,FR,1545525000,93,48.95,4.24,48.2,11.41
81,Port Augusta,2063056,0,AU,1545523200,36,-32.49,137.76,75.2,6.93
82,Rikitea,4030556,68,PF,1545527325,100,-23.12,-134.97,78.53,17.45
83,Hithadhoo,1282256,0,MV,1545527427,100,-0.6,73.08,82.27,8.28
84,Busselton,2075265,0,AU,1545527331,92,-33.64,115.35,69.62,12.19
85,Port Alfred,964432,36,ZA,1545527135,91,-33.59,26.89,73.0,9.84
86,Vaini,1273574,32,IN,1545523200,87,15.34,74.49,60.8,2.91
87,Busselton,2075265,0,AU,1545527331,92,-33.64,115.35,69.62,12.19
88,Butaritari,2110227,76,KI,1545527352,100,3.07,172.79,82.04,5.93
89,Vanimo,2084442,20,PG,1545527433,100,-2.67,141.3,83.35,8.39
90,Hobart,2163355,75,AU,1545525000,42,-42.88,147.33,68.0,18.34
91,Sioux Lookout,6148373,90,CA,1545523500,85,50.1,-91.92,15.8,4.7
92,Lar,133595,0,IR,1545526800,60,27.66,54.32,42.8,2.91
93,Port Augusta,2063056,0,AU,1545523200,36,-32.49,137.76,75.2,6.93
94,Hermanus,3366880,0,ZA,1545527342,99,-34.42,19.24,56.84,2.91
95,Tual,1623197,48,ID,1545527441,100,-5.67,132.75,81.77,13.31
96,Nosy Varika,1058080,92,MG,1545527442,100,-20.58,48.53,72.28,4.92
97,Georgetown,3378644,75,GY,1545523200,74,6.8,-58.16,80.6,11.41
98,Khatanga,2022572,64,RU,1545527445,81,71.98,102.47,-18.63,18.68
99,San Patricio,3437029,44,PY,1545527252,88,-26.98,-56.83,75.2,4.47
100,Hamilton,3573197,75,BM,1545522900,77,32.3,-64.78,69.8,13.87
101,Barrow,3833859,0,AR,1545527449,45,-38.31,-60.23,72.59,7.27
102,Broken Hill,2173911,0,AU,1545523200,25,-31.97,141.45,75.2,10.29
103,Mataura,6201424,0,NZ,1545527232,73,-46.19,168.86,61.79,3.8
104,Hasaki,2112802,75,JP,1545526800,87,35.73,140.83,50.0,4.7
105,Hilo,5855927,75,US,1545526380,71,19.71,-155.08,78.98,10.29
106,Tiksi,2015306,0,RU,1545527275,69,71.64,128.87,-35.95,6.15
107,Puerto Ayora,3652764,75,EC,1545523200,88,-0.74,-90.35,75.2,10.29
108,Isangel,2136825,48,VU,1545527275,100,-19.55,169.27,79.57,8.72
109,Cidreira,3466165,24,BR,1545527458,87,-30.17,-50.22,72.37,7.61
110,Bluff,2175403,64,AU,1545527459,90,-23.58,149.07,76.82,11.97
111,Albany,5106834,90,US,1545526560,69,42.65,-73.75,35.96,18.34
112,Kodiak,4407665,1,US,1545526500,69,39.95,-94.76,35.6,4.7
113,Hithadhoo,1282256,0,MV,1545527427,100,-0.6,73.08,82.27,8.28
114,Hermanus,3366880,0,ZA,1545527342,99,-34.42,19.24,56.84,2.91
115,Teya,3526662,20,MX,1545525900,56,21.05,-89.07,69.8,11.41
116,Carnarvon,1014034,0,ZA,1545527250,27,-30.97,22.13,68.32,11.41
117,Mataura,6201424,0,NZ,1545527232,73,-46.19,168.86,61.79,3.8
118,Mataura,6201424,0,NZ,1545527232,73,-46.19,168.86,61.79,3.8
119,Port Alfred,964432,36,ZA,1545527135,91,-33.59,26.89,73.0,9.84
120,Torbay,6167817,90,CA,1545523200,92,47.66,-52.73,33.8,26.4
121,Sorong,1626542,32,ID,1545527475,100,-0.86,131.25,79.88,6.38
122,Hermanus,3366880,0,ZA,1545527342,99,-34.42,19.24,56.84,2.91
123,Mount Isa,2065594,0,AU,1545525000,9,-20.73,139.49,93.2,16.11
124,Ushuaia,3833367,40,AR,1545523200,57,-54.81,-68.31,48.2,27.51
125,Cumberland,5221703,20,US,1545526560,64,41.97,-71.43,39.02,17.22
126,Mataura,6201424,0,NZ,1545527232,73,-46.19,168.86,61.79,3.8
127,Kloulklubed,7671223,75,PW,1545526260,88,7.04,134.26,80.6,9.17
128,Cidreira,3466165,24,BR,1545527458,87,-30.17,-50.22,72.37,7.61
129,Sterling,4787534,1,US,1545526560,54,39.0,-77.4,44.96,5.82
130,Santa Rosa,3835994,8,AR,1545527252,39,-36.62,-64.29,80.87,10.63
131,Okhotsk,2122605,80,RU,1545527486,100,59.36,143.24,4.6,6.6
132,Saint-Leu,6690297,75,RE,1545525000,83,-21.15,55.28,77.0,3.36
133,Calama,3897347,0,CL,1545523200,11,-22.46,-68.93,64.4,20.8
134,Castro,3896218,90,CL,1545523200,76,-42.48,-73.76,57.2,4.7
135,Avarua,4035715,75,CK,1545526800,74,-21.21,-159.78,84.2,9.17
136,Cape Town,3369157,0,ZA,1545523200,88,-33.93,18.42,69.8,11.41
137,Necochea,3430443,0,AR,1545527427,66,-38.55,-58.74,69.35,7.72
138,Torbay,6167817,90,CA,1545523200,92,47.66,-52.73,33.8,26.4
139,Hay River,5972762,90,CA,1545523200,84,60.82,-115.79,-0.41,5.82
140,Leon,4864492,75,US,1545526500,88,40.74,-93.75,32.0,9.4
141,Sao Miguel do Araguaia,3448455,8,BR,1545527498,74,-13.28,-50.16,80.96,2.8
142,Atuona,4020109,92,PF,1545527499,100,-9.8,-139.03,79.48,15.66
